"pos.1" "pos.2" "b.mod" "sep.dist" "pic_name"
13 7 6.6332495807108 0.000344012730619141 "plot_large_p_small_n_30_10_0_1_1.png"
13 8 4.89897948556636 3.60446337608311e-05 "plot_large_p_small_n_30_10_0_1_1.png"
13 9 5.29150262212918 2.22039601861038e-05 "plot_large_p_small_n_30_10_0_1_1.png"
13 10 14.2126704035519 0.772429205329332 "plot_large_p_small_n_30_10_0_1_1.png"
13 11 4 2.58254624781166e-05 "plot_large_p_small_n_30_10_0_1_1.png"
13 12 6.16441400296898 3.61764427473433e-05 "plot_large_p_small_n_30_10_0_1_1.png"
13 13 0 0 "plot_large_p_small_n_30_10_0_1_1.png"
13 14 6.78232998312527 1.17877821773468e-05 "plot_large_p_small_n_30_10_0_1_1.png"
13 15 3.46410161513775 3.3779250136729e-05 "plot_large_p_small_n_30_10_0_1_1.png"
13 16 6.48074069840786 1.23634379723556e-05 "plot_large_p_small_n_30_10_0_1_1.png"
13 17 6.48074069840786 3.58194708148016e-05 "plot_large_p_small_n_30_10_0_1_1.png"
13 18 5.47722557505166 0.000111823286490869 "plot_large_p_small_n_30_10_0_1_1.png"
13 19 3.74165738677394 3.42896723670939e-05 "plot_large_p_small_n_30_10_0_1_1.png"
13 20 5.29150262212918 3.04465287318197e-05 "plot_large_p_small_n_30_10_0_1_1.png"
14 1 5.47722557505166 1.08691826600532e-07 "plot_large_p_small_n_30_10_0_1_1.png"
14 2 8 2.41940322960029e-05 "plot_large_p_small_n_30_10_0_1_1.png"
14 3 5.29150262212918 7.07833120206446e-05 "plot_large_p_small_n_30_10_0_1_1.png"
14 4 8.83176086632785 2.27861410919355e-05 "plot_large_p_small_n_30_10_0_1_1.png"
14 5 6.78232998312527 1.21261657111618e-05 "plot_large_p_small_n_30_10_0_1_1.png"
14 6 5.29150262212918 1.94190441153937e-05 "plot_large_p_small_n_30_10_0_1_1.png"
14 7 4.47213595499958 0.000355800512796488 "plot_large_p_small_n_30_10_0_1_1.png"
14 8 7.21110255092798 2.42568515834843e-05 "plot_large_p_small_n_30_10_0_1_1.png"
14 9 7.87400787401181 1.0416178008757e-05 "plot_large_p_small_n_30_10_0_1_1.png"
14 10 13.9283882771841 0.772440993111509 "plot_large_p_small_n_30_10_0_1_1.png"
14 11 6.32455532033676 1.40376803007698e-05 "plot_large_p_small_n_30_10_0_1_1.png"
14 12 6.16441400296898 2.43886605699966e-05 "plot_large_p_small_n_30_10_0_1_1.png"
14 13 6.78232998312527 1.17877821773468e-05 "plot_large_p_small_n_30_10_0_1_1.png"
14 14 0 0 "plot_large_p_small_n_30_10_0_1_1.png"
14 15 5.47722557505166 4.55670323140757e-05 "plot_large_p_small_n_30_10_0_1_1.png"
14 16 8.36660026534076 5.75655795008808e-07 "plot_large_p_small_n_30_10_0_1_1.png"
14 17 10.0995049383621 2.40316886374548e-05 "plot_large_p_small_n_30_10_0_1_1.png"
14 18 4.24264068711928 0.000123611068668216 "plot_large_p_small_n_30_10_0_1_1.png"
14 19 6.48074069840786 2.25018901897471e-05 "plot_large_p_small_n_30_10_0_1_1.png"
14 20 8 1.86587465544729e-05 "plot_large_p_small_n_30_10_0_1_1.png"
15 1 3.46410161513775 4.54583404874752e-05 "plot_large_p_small_n_30_10_0_1_1.png"
15 2 5.47722557505166 6.97610646100787e-05 "plot_large_p_small_n_30_10_0_1_1.png"
15 3 3.46410161513775 2.52162797065688e-05 "plot_large_p_small_n_30_10_0_1_1.png"
15 4 4.89897948556636 6.83531734060112e-05 "plot_large_p_small_n_30_10_0_1_1.png"
15 5 4.47213595499958 5.76931980252376e-05 "plot_large_p_small_n_30_10_0_1_1.png"
15 6 5.65685424949238 6.49860764294694e-05 "plot_large_p_small_n_30_10_0_1_1.png"
15 7 5.09901951359278 0.000310233480482412 "plot_large_p_small_n_30_10_0_1_1.png"
15 8 6.48074069840786 6.982388389756e-05 "plot_large_p_small_n_30_10_0_1_1.png"
15 9 5.47722557505166 5.59832103228327e-05 "plot_large_p_small_n_30_10_0_1_1.png"
15 10 15.4919333848297 0.772395426079195 "plot_large_p_small_n_30_10_0_1_1.png"
15 11 2.82842712474619 5.96047126148455e-05 "plot_large_p_small_n_30_10_0_1_1.png"
15 12 5.29150262212918 6.99556928840723e-05 "plot_large_p_small_n_30_10_0_1_1.png"
15 13 3.46410161513775 3.3779250136729e-05 "plot_large_p_small_n_30_10_0_1_1.png"
15 14 5.47722557505166 4.55670323140757e-05 "plot_large_p_small_n_30_10_0_1_1.png"
15 15 0 0 "plot_large_p_small_n_30_10_0_1_1.png"
15 16 7.07106781186548 4.61426881090846e-05 "plot_large_p_small_n_30_10_0_1_1.png"
15 17 7.21110255092798 6.95987209515305e-05 "plot_large_p_small_n_30_10_0_1_1.png"
15 18 4.69041575982343 7.80440363541404e-05 "plot_large_p_small_n_30_10_0_1_1.png"
15 19 4 6.80689225038228e-05 "plot_large_p_small_n_30_10_0_1_1.png"
15 20 6.6332495807108 6.42257788685486e-05 "plot_large_p_small_n_30_10_0_1_1.png"
